make_id,model_id,view_point,train,valid,test
1,1101,1,2,1,1
1,1101,2,1,0,1
1,1101,3,1,0,1
1,1101,4,3,1,2
1,1101,5,2,1,1
1,1102,1,1,0,1
1,1102,2,1,0,0
1,1102,4,2,1,1
1,1102,5,3,1,1
1,1103,1,2,1,1
1,1103,2,2,1,1
1,1103,3,2,0,1
1,1103,4,4,2,2
1,1103,5,5,1,3
1,1104,4,1,0,0
1,1104,5,1,0,0
1,1105,3,1,0,0
1,1105,4,2,0,1
1,1105,5,2,0,1
1,1106,3,1,0,0
1,1106,4,1,0,1
1,1106,5,1,0,0
1,1107,1,1,0,0
1,1107,2,1,0,1
1,1107,3,1,0,0
1,1107,4,3,1,2
1,1107,5,3,1,1
1,1108,3,1,0,0
1,1108,4,1,0,1
1,1108,5,1,0,0
1,1109,3,1,0,1
1,1109,4,2,0,1
1,1109,5,2,0,1
1,1110,1,1,0,0
1,1110,2,1,0,1
1,1110,3,2,0,1
1,1110,4,3,1,1
1,1110,5,2,1,1
1,1112,1,1,0,1
1,1112,4,3,1,2
1,1112,5,2,1,1
1,1113,3,1,0,1
1,1113,4,1,0,1
1,1113,5,2,1,1
2,1308,1,2,1,1
2,1308,2,2,1,1
2,1308,3,2,0,1
2,1308,4,4,2,2
2,1308,5,3,1,1
3,1758,1,2,1,1
3,1758,2,1,0,1
3,1758,3,2,0,1
3,1758,4,10,4,6
3,1758,5,3,1,2
4,509,1,9,3,5
4,509,2,9,3,5
4,509,3,13,5,7
4,509,4,19,7,11
4,509,5,12,5,7
4,510,1,9,3,5
4,510,2,7,3,4
4,510,3,11,4,7
4,510,4,22,8,13
4,510,5,12,5,7
4,511,1,13,5,7
4,511,2,7,2,4
4,511,3,10,4,6
4,511,4,19,8,11
4,511,5,12,4,7
4,512,-1,4,1,2
4,512,1,7,3,4
4,512,2,6,2,3
4,512,3,12,5,7
4,512,4,19,7,11
4,512,5,14,5,8
4,514,1,2,0,1
4,514,2,1,0,1
4,514,3,3,1,1
4,514,4,6,2,4
4,514,5,3,1,2
4,515,-1,1,0,0
4,515,1,1,0,0
4,515,3,3,1,2
4,515,4,6,2,4
4,515,5,3,1,1
4,516,1,7,2,4
4,516,2,4,2,2
4,516,3,15,5,9
4,516,4,19,7,11
4,516,5,17,6,10
5,1039,1,5,1,3
5,1039,2,3,1,1
5,1039,3,8,3,5
5,1039,4,11,4,6
5,1039,5,6,2,3
5,1040,-1,2,0,1
5,1040,1,2,1,1
5,1040,3,11,4,6
5,1040,4,33,13,19
5,1040,5,14,5,8
5,1041,-1,2,1,1
5,1041,1,2,1,1
5,1041,2,2,0,1
5,1041,3,13,5,8
5,1041,4,24,10,14
5,1041,5,18,7,10
5,1042,-1,1,0,1
5,1042,1,1,0,0
5,1042,2,1,0,0
5,1042,3,6,2,4
5,1042,4,27,11,16
5,1042,5,14,5,8
5,1043,1,3,1,1
5,1043,2,1,0,1
5,1043,3,2,0,1
5,1043,4,3,1,2
5,1043,5,5,1,3
6,1773,-1,1,0,1
6,1773,2,2,0,1
6,1773,3,2,1,1
6,1773,4,3,1,2
6,1773,5,1,0,0
6,1774,1,2,1,1
6,1774,2,3,1,2
6,1774,3,9,3,5
6,1774,4,5,2,3
6,1774,5,9,3,5
6,1775,2,1,0,1
6,1775,3,1,0,1
6,1775,4,4,1,2
6,1775,5,1,0,1
6,1776,1,1,0,0
6,1776,2,1,0,0
6,1776,3,2,0,1
6,1776,4,2,1,1
6,1776,5,2,1,1
6,1777,1,5,2,3
6,1777,2,4,1,2
6,1777,3,3,1,2
6,1777,4,28,11,16
6,1777,5,5,1,3
7,681,1,1,0,1
7,681,2,1,0,0
7,681,3,1,0,0
7,681,4,3,1,2
7,681,5,3,1,1
7,682,1,7,3,4
7,682,2,3,1,2
7,682,3,7,3,4
7,682,4,30,12,18
7,682,5,13,5,8
7,683,1,6,2,3
7,683,2,6,2,3
7,683,3,9,4,5
7,683,4,20,8,12
7,683,5,16,6,9
7,684,1,6,2,3
7,684,2,3,1,2
7,684,3,7,3,4
7,684,4,28,11,17
7,684,5,17,6,10
7,685,1,5,2,3
7,685,2,4,2,2
7,685,3,6,2,3
7,685,4,16,6,10
7,685,5,9,4,5
7,686,1,4,1,2
7,686,2,1,0,1
7,686,3,2,0,1
7,686,4,16,6,9
7,686,5,7,2,4
7,687,1,10,4,6
7,687,2,7,3,4
7,687,3,7,2,4
7,687,4,19,8,11
7,687,5,16,6,10
8,1045,-1,2,0,1
8,1045,1,6,2,4
8,1045,2,6,2,3
8,1045,3,4,2,2
8,1045,4,13,5,7
8,1045,5,4,1,2
8,1046,1,1,0,0
8,1046,2,1,0,0
8,1046,3,1,0,0
8,1046,4,1,0,1
8,1046,5,1,0,1
8,1047,1,2,0,1
8,1047,2,1,0,0
8,1047,3,2,0,1
8,1047,4,2,1,1
8,1047,5,2,1,1
